#
# Inspired by https://blogs.jpcert.or.jp/en/2016/01/windows-commands-abused-by-attackers.html
#
'commandline','empty'
'whomai /priv',''
'vssadmin',''
'sdelete',''
'schtasks',''
'net group "Domain Admins" /domain',''
'tasklist',''
'ver',''
'ipconfig',''
'net time',''
'systeminfo',''
'netstat',''
'qprocess',''
'query',''
'whoami',''
'net start',''
'nslookup',''
'fsutil',''
'time',''
'set',''
'dir',''
'net view',''
'ping',''
'net use',''
'type',''
'net user',''
'net localgroup',''
'net group',''
'net config',''
'net share',''
'dsquery',''
'csvde',''
'nbtstat',''
'net session',''
'nltest',''
'wevtutil',''
'reg',''
'wmic',''
'netsh advfirewall',''
'sc',''
'wusa',''
'tree',''
'rundll32',''
'arp',''
'chcp',''
'qwinsta',''
